,Word,Frequency,Length
0,i,2185,1
1,you,1837,3
5,u,987,1
6,and,848,3
8,me,756,2
9,my,743,2
11,it,590,2
12,of,524,2
13,for,501,3
14,that,486,4
15,im,451,2
16,have,438,4
17,but,418,3
18,your,414,4
19,so,412,2
21,not,406,3
24,do,377,2
25,can,376,3
26,if,347,2
27,will,334,4
28,be,332,2
29,get,307,3
30,its,297,3
31,we,297,2
32,just,289,4
33,now,289,3
34,up,284,2
35,ltgt,276,4
36,when,274,4
37,no,273,2
38,ok,272,2
39,with,271,4
40,dont,257,4
41,how,255,3
42,go,249,2
43,this,243,4
44,what,242,4
45,ur,240,2
46,all,239,3
47,ill,236,3
48,know,232,4
49,got,232,3
50,call,229,4
51,like,229,4
52,or,228,2
53,come,224,4
54,then,223,4
55,good,222,4
56,was,222,3
58,out,211,3
59,day,191,3
60,time,189,4
61,love,185,4
62,there,185,5
63,he,184,2
64,going,167,5
65,want,163,4
66,one,162,3
67,home,160,4
68,lor,160,3
69,about,159,5
70,need,156,4
71,sorry,153,5
72,from,150,4
73,still,146,5
75,see,137,3
76,by,135,2
77,n,135,1
78,later,134,5
79,r,131,1
80,da,131,2
81,only,131,4
82,she,130,3
83,back,129,4
84,think,128,5
85,well,126,4
86,today,125,5
87,send,123,4
88,tell,121,4
89,м,120,1
90,some,119,4
91,cant,118,4
92,hi,117,2
93,did,116,3
94,her,113,3
95,take,112,4
96,much,112,4
97,here,111,4
98,oh,111,2
99,they,109,4
100,him,108,3
101,night,107,5
102,hey,106,3
103,any,105,3
104,happy,105,5
105,too,104,3
106,d,102,1
107,way,100,3
108,great,100,5
109,hope,99,4
110,pls,98,3
111,where,98,5
112,dear,97,4
113,work,96,4
114,wat,95,3
115,thats,94,5
116,give,93,4
117,an,92,2
118,say,91,3
119,already,89,7
120,right,89,5
121,ask,88,3
122,make,88,4
123,should,88,6
124,been,87,4
125,said,86,4
126,has,86,3
127,doing,85,5
128,yeah,85,4
129,really,85,6
130,had,84,3
131,after,84,5
132,amp,82,3
133,tomorrow,80,8
134,phone,80,5
135,more,79,4
136,them,79,4
137,were,79,4
138,didnt,79,5
139,e,78,1
140,morning,77,7
141,please,76,6
142,cos,76,3
143,very,75,4
144,life,74,4
145,ive,73,3
146,lol,73,3
147,anything,73,8
148,would,72,5
149,meet,72,4
150,sure,71,4
151,k,71,1
152,yes,71,3
153,babe,70,4
154,let,70,3
155,miss,69,4
156,pick,69,4
157,something,68,9
158,text,68,4
159,also,68,4
160,why,67,3
161,new,67,3
162,week,66,4
163,last,65,4
164,number,64,6
165,our,63,3
166,b,63,1
167,feel,62,4
168,care,62,4
169,buy,62,3
170,again,62,5
171,keep,62,4
172,who,61,3
173,went,61,4
174,thanks,61,6
175,thing,60,5
176,c,60,1
177,before,60,6
178,around,59,6
179,his,59,3
180,free,59,4
181,sent,58,4
182,gonna,58,5
183,wait,57,4
184,tonight,57,7
185,nice,57,4
186,many,56,4
187,sleep,56,5
188,soon,56,4
189,off,56,3
190,always,56,6
191,first,56,5
192,us,55,2
193,late,55,4
194,over,55,4
195,even,55,4
196,down,55,4
197,dun,55,3
198,ya,55,2
199,msg,54,3
200,place,54,5
201,wan,53,3
202,friends,53,7
203,money,53,5
204,told,53,4
205,leave,53,5
206,could,53,5
207,gud,53,3
208,which,52,5
209,мп,52,2
210,youre,51,5
211,things,51,6
212,other,51,5
213,wont,51,4
214,message,51,7
215,coming,50,6
216,wish,50,4
217,find,50,4
218,thk,50,3
219,yet,48,3
220,same,48,4
221,haha,48,4
222,v,47,1
223,people,47,6
224,next,46,4
225,hello,46,5
226,thought,46,7
227,getting,46,7
228,lunch,45,5
229,havent,45,6
230,done,45,4
231,someone,45,7
232,fine,45,4
233,smile,44,5
234,year,44,4
235,man,44,3
236,few,44,3
237,hows,44,4
238,job,43,3
239,yup,43,3
240,bit,43,3
241,reply,43,5
242,meeting,43,7
243,class,43,5
244,finish,42,6
245,never,42,5
