Sentence,Length
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,102
ok lar joking wif u oni,23
u dun say so early hor u c already then say,43
nah i dont think he goes to usf he lives around here though,59
even my brother is not like to speak with me they treat me like aids patent,75
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune,153
im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,103
ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,192
i have a date on sunday with will,33
oh kim watching here,20
eh u remember how  spell his name yes i did he v naughty make until i v wet,75
fine if thatехs the way u feel thatехs the way its gota b,57
is that seriously how you spell his name,40
iычm going to try for  months ha ha only joking,47
so м pay first lar then when is da stock comin,46
aft i finish my lunch then i go str down lor ard  smth lor u finish ur lunch already,84
ffffffffff alright no way i can meet up with you sooner,55
just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,137
lol your always so convincing,29
did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,128
im back amp were packing the car now ill let you know if theres room,68
ahhh work i vaguely remember that what does it feel like lol,60
wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,126
yeah he got in at  and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till  but we wont go there not doing too badly cheers you ,180
k tell me anything about you,28
for fear of fainting with the of all that housework you just did quick have a cuppa,83
yup ok i go home look at the timings then i msg м again xuhui going to learn on nd may too but her lesson is at am,114
oops ill let you know when my roommates done,44
i see the letter b on my car,28
anything lor u decide,21
hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,148
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,79
did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,127
who are you seeing,18
great i hope you like your man well endowed i am  ltgt  inches,62
no callsmessagesmissed calls,28
didnt you get hep b immunisation in nigeria,43
fair enough anything going on,29
yeah hopefully if tyler cant do it i could maybe ask around a bit,65
